iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,0.3601475999998911,0.10538799999994808,0.254759599999943,0.504707,1572,0
1,0.36141379999980927,0.10256819999949585,0.2588456000003134,0.504198,1572,0
2,0.3747898999999961,0.12430029999995895,0.25048960000003717,0.503628,1572,0
3,0.36154720000013185,0.1066928000000189,0.25485440000011295,0.503464,1572,0
4,0.3804504999998244,0.12709969999968962,0.25335080000013477,0.503289,1572,0
5,0.38835389999985637,0.13399759999992966,0.2543562999999267,0.503242,1572,0
6,0.36214139999992767,0.1067734000002929,0.2553679999996348,0.503189,1572,0
7,0.3554282999998577,0.10123710000016217,0.2541911999996955,0.502922,1572,0
8,0.36405110000032437,0.1117128000005323,0.25233829999979207,0.502838,1572,0
9,0.3645125000002736,0.10797660000025644,0.25653590000001714,0.502876,1572,0
10,0.371165099999871,0.1138506000002053,0.2573144999996657,0.502498,1572,0
11,0.37449470000001384,0.12314889999970546,0.2513458000003084,0.502308,1572,0
12,0.3572693999999501,0.10360790000004272,0.2536614999999074,0.502379,1572,0
13,0.3761478999999781,0.11908729999959178,0.25706060000038633,0.502493,1572,0
14,0.37033240000027945,0.11422180000045046,0.256110599999829,0.502445,1572,0
15,0.37683590000006006,0.11896200000001045,0.2578739000000496,0.502369,1572,0
16,0.3600039000002653,0.10356380000030185,0.2564400999999634,0.502325,1572,0
17,0.35433969999985493,0.10358389999964857,0.25075580000020636,0.502591,1572,0
18,0.36269480000009935,0.10572580000007292,0.2569690000000264,0.502276,1572,0
19,0.35820639999974446,0.108048399999916,0.25015799999982846,0.502324,1572,0
