iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,11.728121500000043,11.577717899999925,0.15040360000011788,60.210998,3554,394
1,11.698260100000198,11.550207900000032,0.1480522000001656,59.03182,3554,394
2,11.717078899999933,11.567679400000088,0.14939949999984492,59.025367,3554,394
3,11.736798600000157,11.587364000000207,0.14943459999994957,59.022126,3554,394
4,11.71578250000016,11.56813910000028,0.14764339999987897,59.026244,3554,394
5,11.7462273000001,11.595442800000228,0.15078449999987242,59.022147,3554,394
6,11.799309900000026,11.650693100000126,0.14861679999989974,59.02417,3554,394
7,11.695154200000161,11.54792650000013,0.14722770000003038,59.023572,3554,394
8,11.755071399999906,11.604729299999917,0.15034209999998893,59.020682,3554,394
9,11.727961999999934,11.576233799999954,0.15172819999997955,59.020465,3554,394
10,11.76349839999989,11.613392199999907,0.15010619999998198,59.022076,3554,394
11,11.809269099999938,11.657069300000103,0.1521997999998348,59.024012,3554,394
12,11.838130699999965,11.689830799999982,0.1482998999999836,59.02312,3554,394
13,12.214250300000003,12.06173049999984,0.15251980000016374,59.022179,3554,394
14,12.049317499999916,11.898977999999943,0.15033949999997276,59.023206,3554,394
15,11.9125168999999,11.762167999999747,0.15034890000015366,59.021833,3554,394
16,11.92010530000016,11.769018000000187,0.15108729999997195,59.020916,3554,394
17,12.002025799999956,11.851552699999957,0.15047309999999925,59.019284,3554,394
18,12.057808000000023,11.907961800000066,0.1498461999999563,59.021952,3554,394
19,12.110065099999929,11.958562499999744,0.15150260000018534,59.021236,3554,394
