iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,3.766458000000057,3.4398019000000204,0.32665610000003653,20.949661,1927,640
1,3.793758499999967,3.3656009999999696,0.4281574999999975,19.87262,1927,640
2,3.8209938999998485,3.3909365999998045,0.43005730000004405,19.864229,1927,640
3,3.7002917999998317,3.3710721999996167,0.329219600000215,19.862286,1927,640
4,3.70646140000008,3.3838683000003584,0.32259309999972174,19.863381,1927,640
5,3.7316092000000936,3.37797479999972,0.3536344000003737,19.863871,1927,640
6,3.8539574999999786,3.425789099999747,0.4281684000002315,19.861428,1927,640
7,3.815024900000026,3.3863194999998996,0.42870540000012625,19.862807,1927,640
8,3.810086699999829,3.375868300000093,0.434218399999736,19.861483,1927,640
9,4.0677473999999165,3.6083168999998634,0.45943050000005314,19.861721,1927,640
10,3.900880800000323,3.5558390000001054,0.34504180000021734,19.862747,1927,640
11,3.8595015000000785,3.500627500000064,0.35887400000001435,19.861238,1927,640
12,3.93066620000036,3.5053036000003885,0.4253625999999713,19.861516,1927,640
13,3.885044000000107,3.4237355000000207,0.4613085000000865,19.86246,1927,640
14,3.894455199999811,3.4370475000000624,0.45740769999974873,19.8603,1927,640
15,3.7528732000000673,3.4207782999997107,0.3320949000003566,19.861659,1927,640
16,3.7483477999999195,3.401455299999725,0.34689250000019456,19.860159,1927,640
17,3.8920099000001755,3.4348916000003555,0.45711829999982,19.86067,1927,640
18,4.028219799999988,3.5541972999999416,0.4740225000000464,19.862036,1927,640
19,3.8531197000002066,3.51070639999989,0.34241330000031667,19.860932,1927,640
