iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,12.414015199999994,12.236035299999912,0.17797990000008213,4.859613,8231,0
1,12.719090499999993,12.495614599999953,0.22347590000003947,4.972405,8231,0
2,13.129717299999811,12.94883109999978,0.18088620000003175,4.972237,8231,0
3,12.916289499999948,12.717746399999896,0.1985431000000517,4.972093,8231,0
4,12.994786900000008,12.814641199999869,0.1801457000001392,4.971973,8231,0
5,12.874749600000087,12.695300100000168,0.17944949999991877,4.971877,8231,0
6,12.688697300000058,12.51133619999996,0.1773611000000983,4.971733,8231,0
7,12.672739900000124,12.494908699999996,0.17783120000012786,4.971629,8231,0
8,12.66160119999995,12.481772999999976,0.17982819999997446,4.971533,8231,0
9,12.805886800000053,12.628632100000004,0.17725470000004862,4.971437,8231,0
10,12.680155200000172,12.503012400000216,0.17714279999995597,4.971349,8231,0
11,12.832648099999915,12.654599299999973,0.17804879999994228,4.971277,8231,0
12,12.881260999999995,12.705567100000053,0.175693899999942,4.971229,8231,0
13,12.770679799999925,12.59231990000012,0.17835989999980484,4.971205,8231,0
14,12.964454700000033,12.786448500000006,0.1780062000000271,4.971173,8231,0
15,12.929043300000103,12.749762300000157,0.1792809999999463,4.971157,8231,0
16,12.77071060000003,12.584387200000037,0.18632339999999203,4.971141,8231,0
17,12.81026350000002,12.631389399999989,0.17887410000003,4.971125,8231,0
18,12.874996900000042,12.695878700000094,0.17911819999994805,4.971109,8231,0
19,12.846679500000164,12.669565100000227,0.17711439999993672,4.971093,8231,0
