iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,1,0,2,0.0,0.1612839456556003,Not accessible,18,0,0.0038614000004599802,2.7265625
1,0,1,2,0.0,0.0,Not accessible,18,0,0.002497199999197619,0.0390625
2,1,0,2,0.0,0.40062435708614813,Not accessible,18,0,0.002390699999523349,0.0078125
3,1,0,2,0.0,0.35039605937572943,Not accessible,18,0,0.0023980000005394686,0.00390625
4,1,0,2,0.0009999275207519531,0.0886667793344776,Not accessible,18,0,0.002329399998416193,0.0
5,1,0,2,0.0,0.4668344482001923,Not accessible,18,0,0.0023184000001492677,0.01171875
6,0,1,2,0.0,0.0,Not accessible,18,0,0.002276200000778772,0.0
7,1,0,2,0.0,0.1266880325665836,Not accessible,18,0,0.0023080999999365304,0.00390625
8,1,0,2,0.0,0.15900038059216634,Not accessible,18,0,0.0023372000014205696,0.00390625
9,0,1,2,0.0,0.0,Not accessible,18,0,0.002301399999851128,0.0
10,0,1,2,0.0,0.0,Not accessible,18,0,0.0023538000004919013,0.00390625
11,1,0,2,0.0,0.20193129051338754,Not accessible,18,0,0.0023567000007460592,0.0
12,0,1,2,0.0009999275207519531,0.0,Not accessible,18,0,0.0023494999986723997,0.00390625
13,0,1,2,0.0,0.0,Not accessible,18,0,0.0023041000004013767,0.01171875
14,0,1,2,0.0,0.0,Not accessible,18,0,0.0023172000001068227,0.0
15,0,1,2,0.0,0.0,Not accessible,18,0,0.0023337999991781544,0.00390625
16,1,0,2,0.002000093460083008,0.29007667541926385,Not accessible,18,0,0.0023731999990559416,0.0
17,1,0,2,0.0,0.2547956943016293,Not accessible,18,0,0.0023634999997739214,0.00390625
18,0,1,2,0.0,0.0,Not accessible,18,0,0.0022938000001886394,0.0
19,1,0,2,0.0,0.20455738213906877,Not accessible,18,0,0.002303600000232109,0.00390625
20,0,1,2,0.0,0.0,Not accessible,18,0,0.002310199999556062,0.00390625
21,1,0,2,0.0,0.1612839456556003,Not accessible,18,0,0.00232270000014978,0.0
22,0,1,2,0.0,0.0,Not accessible,18,0,0.002303100000062841,0.00390625
23,1,0,2,0.0,0.2885923439691146,Not accessible,18,0,0.002372299999478855,0.0
24,0,1,2,0.0,0.0,Not accessible,18,0,0.0023126000014599413,0.0078125
25,0,1,2,0.0,0.0,Not accessible,18,0,0.0022991000005276874,0.0
26,0,1,2,0.0,0.0,Not accessible,18,0,0.0023022000004857546,0.00390625
27,1,0,2,0.002000093460083008,0.1842337171622368,Not accessible,18,0,0.0023017000003164867,0.00390625
28,0,1,2,0.0,0.0,Not accessible,18,0,0.002282299999933457,0.0
29,1,0,2,0.0,0.18526131175310193,Not accessible,18,0,0.0023223999996844213,0.00390625
30,0,1,2,0.0,0.0,Not accessible,18,0,0.0023402000006171875,0.0
31,1,0,2,0.0,0.2114080624252473,Not accessible,18,0,0.0022988000000623288,0.00390625
32,1,0,2,0.0,0.29007667541926385,Not accessible,18,0,0.0022860999997647014,0.0
33,0,1,2,0.0009999275207519531,0.0,Not accessible,18,0,0.0022857999992993427,0.00390625
34,1,0,2,0.0,0.2787730603991309,Not accessible,18,0,0.0023097000012057833,0.00390625
35,1,0,2,0.0,0.13296781040881117,Not accessible,18,0,0.002299499999935506,0.0
36,0,1,2,0.0,0.0,Not accessible,18,0,0.002336499999728403,0.00390625
37,0,1,2,0.0,0.0,Not accessible,18,0,0.0022938000001886394,0.0
38,0,1,2,0.0,0.0,Not accessible,18,0,0.002294899999469635,0.00390625
39,0,1,2,0.0010001659393310547,0.0,Not accessible,18,0,0.0022676999997202074,0.0
40,1,0,2,0.0,0.28105661055844156,Not accessible,18,0,0.0022867999996378785,0.00390625
41,0,1,2,0.0,0.0,Not accessible,18,0,0.0022747999992134282,0.0
42,0,1,2,0.0010001659393310547,0.0,Not accessible,18,0,0.0023015000006125774,0.00390625
43,0,1,2,0.0010001659393310547,0.0,Not accessible,18,0,0.002425199998469907,0.0
44,0,1,2,0.0,0.0,Not accessible,18,0,0.002281099999891012,0.00390625
45,0,1,2,0.0,0.0,Not accessible,18,0,0.0022693000009894604,0.0
46,0,1,2,0.0,0.0,Not accessible,18,0,0.0022862000005261507,0.00390625
47,1,0,2,0.0,0.13057007976071033,Not accessible,18,0,0.0022857999992993427,0.00390625
48,0,1,2,0.0,0.0,Not accessible,18,0,0.002285900000060792,0.0
49,1,0,2,0.0,0.08889512540793466,Not accessible,18,0,0.0023129000001063105,0.00390625
50,0,1,2,0.0,0.0,Not accessible,18,0,0.0023315999987971736,0.0
51,0,1,2,0.0,0.0,Not accessible,18,0,0.0023736999992252095,0.00390625
52,0,1,2,0.0,0.0,Not accessible,18,0,0.002300600001035491,0.0
53,0,1,2,0.0,0.0,Not accessible,18,0,0.0022808000012446428,0.00390625
54,0,1,2,0.0,0.0,Not accessible,18,0,0.002302400000189664,0.0
55,0,1,2,0.0,0.0,Not accessible,18,0,0.002320999999938067,0.00390625
56,0,1,2,0.0010001659393310547,0.0,Not accessible,18,0,0.0023445999995601596,0.00390625
57,1,0,2,0.0,0.1737293357553886,Not accessible,18,0,0.0022986999993008794,0.00390625
58,0,1,2,0.0,0.0,Not accessible,18,0,0.002290000000357395,0.0
59,1,0,2,0.002000093460083008,0.3846426232871674,Not accessible,18,0,0.002291799999511568,0.00390625
60,0,1,2,0.0,0.0,Not accessible,18,0,0.002287899998918874,0.0
61,0,1,2,0.0,0.0,Not accessible,18,0,0.002294399999300367,0.0
62,0,1,2,0.0,0.0,Not accessible,18,0,0.0023070999995979946,0.0
63,1,0,2,0.0,0.6152362450179718,Not accessible,18,0,0.002344799999264069,0.015625
64,1,0,2,0.0,0.23538542852274894,Not accessible,18,0,0.002288199999384233,0.0
65,0,1,2,0.0,0.0,Not accessible,18,0,0.002274699998451979,0.0
66,0,1,2,0.0,0.0,Not accessible,18,0,0.002289500000188127,0.0
67,0,1,2,0.0,0.0,Not accessible,18,0,0.002281199998833472,0.0
68,1,0,2,0.0,0.40062435708614813,Not accessible,18,0,0.0023189999992609955,0.0
69,0,1,2,0.0,0.0,Not accessible,18,0,0.002293400000780821,0.0
70,0,1,2,0.0,0.0,Not accessible,18,0,0.0023452999994333368,0.0
71,0,1,2,0.0,0.0,Not accessible,18,0,0.0022735000002285233,0.00390625
72,0,1,2,0.0009999275207519531,0.01520987836964408,Not accessible,18,0,0.0023053000004438218,0.0
73,0,1,2,0.0,0.0,Not accessible,18,0,0.0022797999990871176,0.0
74,1,0,2,0.0,0.45313581071468817,Not accessible,18,0,0.0023538000004919013,0.0
75,0,1,2,0.0,0.0,Not accessible,18,0,0.0022724999998899875,0.0
76,0,1,2,0.0,0.0,Not accessible,18,0,0.002315199999429751,0.0
77,0,1,2,0.0,0.0,Not accessible,18,0,0.002270999999382184,0.0
78,0,1,2,0.0,0.0,Not accessible,18,0,0.0022865999999339692,0.0
79,0,1,2,0.0,0.0,Not accessible,18,0,0.002300699999977951,0.0
80,1,0,2,0.0,0.23538542852274894,Not accessible,18,0,0.0022938000001886394,0.0
81,0,1,2,0.0,0.0,Not accessible,18,0,0.0023110000001906883,0.0
82,1,0,2,0.0,0.40062435708614813,Not accessible,18,0,0.002300699999977951,0.0
83,0,1,2,0.0,0.0,Not accessible,18,0,0.002326399999219575,0.0
84,1,0,2,0.0,0.17418605771054937,Not accessible,18,0,0.0022837000014988007,0.0
85,0,1,2,0.0010001659393310547,0.0,Not accessible,18,0,0.00229120000039984,0.0
86,0,1,2,0.0,0.0,Not accessible,18,0,0.0022825000014563557,0.0
87,0,1,2,0.0,0.0,Not accessible,18,0,0.0022983000017120503,0.0
88,1,0,2,0.0,0.2433778838885828,Not accessible,18,0,0.0022964999989198986,0.00390625
89,0,1,2,0.0,0.0,Not accessible,18,0,0.0023145000013755634,0.0
90,0,1,2,0.0,0.0,Not accessible,18,0,0.002272399999128538,0.0
91,0,1,2,0.0,0.0,Not accessible,18,0,0.00227670000094804,0.0
92,1,0,2,0.0,0.40062435708614813,Not accessible,18,0,0.0023010000004433095,0.0
93,0,1,2,0.0,0.0,Not accessible,18,0,0.002333599999474245,0.0
94,1,0,2,0.0,0.04333813131309392,Not accessible,18,0,0.002312599999640952,0.0
95,0,1,2,0.0,0.0,Not accessible,18,0,0.0022843000006105285,0.0
96,0,1,2,0.0,0.0,Not accessible,18,0,0.0023711000012553995,0.0
97,0,1,2,0.0,0.0,Not accessible,18,0,0.0024062000011326745,0.0
98,0,1,2,0.002000093460083008,0.0,Not accessible,18,0,0.002285299999130075,0.0
99,1,0,2,0.0,0.2433778838885828,Not accessible,18,0,0.0023213000004034257,0.0
100,0,1,2,0.0,0.0,Not accessible,18,0,0.0023139000004448462,0.0
101,1,0,2,0.0,0.5033641084251068,Not accessible,18,0,0.002314900000783382,0.0
102,0,1,2,0.0,0.0,Not accessible,18,0,0.0025826000000961358,0.0
103,0,1,2,0.0,0.0,Not accessible,18,0,0.002788400001008995,0.0
104,0,1,2,0.0,0.0,Not accessible,18,0,0.002302199998666765,0.0
105,0,1,2,0.0,0.0002525678178876997,Not accessible,18,0,0.002330699999220087,0.0
106,1,0,2,0.0,0.4668344482001923,Not accessible,18,0,0.0023428999993484467,0.0
107,0,1,2,0.002000093460083008,0.0,Not accessible,18,0,0.002304399999047746,0.0
108,1,0,2,0.0,0.26278814966746317,Not accessible,18,0,0.0023354000004474074,0.0
109,1,0,2,0.0,0.027353220581426172,Not accessible,18,0,0.002337600000828388,0.0
110,1,0,2,0.0,0.16139812614439053,Not accessible,18,0,0.0023199999995995313,0.0
111,1,0,2,0.0,0.2885923439691146,Not accessible,18,0,0.002294399999300367,0.0
112,0,1,2,0.0,0.0,Not accessible,18,0,0.002388799999607727,0.30859375
113,0,1,2,0.0,0.0,Not accessible,18,0,0.002318199998626369,0.0
114,1,0,2,0.0009999275207519531,0.25125617366974984,Not accessible,18,0,0.0022877000010339543,0.0
