iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.0010001659393310547,0.4058037118449255,0.0,26,0,0.0048695999994379235,0.22265625
1,0,1,2,0.002000093460083008,0.15792757009225078,0.0,26,0,0.00477350000073784,0.125
2,1,0,2,0.0010001659393310547,0.1377579398891653,0.0,26,0,0.004537099999652128,0.1328125
3,1,0,2,0.0009999275207519531,0.0,0.0,26,0,0.0035664000006363494,0.0859375
4,1,0,2,0.0,0.0,0.0,26,0,0.0034328000001551118,0.09375
5,1,0,2,0.0009999275207519531,0.0,0.0,26,0,0.00339209999947343,0.046875
6,0,1,2,0.0009999275207519531,0.15792757009225078,0.0,26,0,0.004647199999453733,0.12109375
7,0,1,2,0.002000093460083008,0.013111252053673937,3.1186746279158713e-07,26,0,0.004401700000016717,0.1171875
8,0,1,2,0.0009999275207519531,0.4058037118449255,0.0,26,0,0.00422420000177226,0.11328125
9,0,1,2,0.002000093460083008,0.27247037155771686,0.0,26,0,0.004805700000360957,0.125
10,0,1,2,0.003000020980834961,0.3391370417013212,0.0,26,0,0.004466999998840038,0.125
11,0,1,2,0.003000020980834961,0.06335737846354225,3.137685306538669e-07,26,0,0.004641800000172225,0.1171875
12,1,0,2,0.002000093460083008,0.0,0.0,26,0,0.003459699999439181,0.08203125
13,0,1,2,0.0010001659393310547,0.3391370417013212,0.0,26,0,0.004528600000412553,0.1171875
14,0,1,2,0.0019998550415039062,0.3391370417013212,0.0,26,0,0.004464899999220506,0.12890625
15,0,1,2,0.002000093460083008,0.15792757009225078,0.0,26,0,0.004980599998816615,0.125
16,0,1,2,0.0019998550415039062,0.11090657443096225,0.0,26,0,0.0050943000005645445,0.4296875
17,0,1,2,0.003000020980834961,0.27247037155771686,0.0,26,0,0.004877499999565771,0.12109375
18,0,1,2,0.0019998550415039062,0.27247037155771686,0.0,26,0,0.005053400000178954,0.1171875
19,0,1,2,0.003999948501586914,0.15792757009225078,0.0,26,0,0.0048124999993888196,0.30078125
20,1,0,2,0.0,0.0,0.0,26,0,0.0036694000009447336,0.08984375
21,1,0,2,0.0019998550415039062,0.037265687069428684,0.0,26,0,0.004542900000160444,0.125
22,0,1,2,0.003000020980834961,0.06335737846354225,3.137685306538669e-07,26,0,0.004757599999720696,0.12109375
23,0,1,2,0.0009999275207519531,0.2058037088646933,0.0,26,0,0.0048231000000669155,0.12109375
24,0,1,2,0.002000093460083008,0.0,0.0,26,0,0.004209099999570753,0.09375
25,0,1,2,0.003000020980834961,0.06335737846354225,3.137685306538669e-07,26,0,0.004708500000560889,0.1171875
26,0,1,2,0.003000020980834961,0.11090657443096225,0.0,26,0,0.005041800000981311,0.125
