iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0029613000006065704,0.0
1,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.002477399999406771,0.0
2,1,0,2,0.0,0.18763189589091858,Not accessible,18,0,0.0023862999987613875,0.0
3,1,0,2,0.0,0.0,Not accessible,18,0,0.0022979000004852423,0.0
4,1,0,2,0.0,0.004779493323666245,Not accessible,18,0,0.0024914000005082926,0.0
5,1,0,2,0.0,0.0,Not accessible,18,0,0.002318500000910717,0.0
6,0,1,2,0.0009999275207519531,0.08683418246402026,Not accessible,18,0,0.0023392000002786517,0.0
7,0,1,2,0.0,0.0,Not accessible,18,0,0.0023583999991387827,0.0
8,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0023713999999017688,0.0
9,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.0023176000013336306,0.0
10,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023854999999457505,0.0
11,0,1,2,0.0,0.0,Not accessible,18,0,0.002339399999982561,0.0
12,1,0,2,0.0,0.004779493323666245,Not accessible,18,0,0.002324600000065402,0.0
13,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023291999987122836,0.0
14,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002376300000832998,0.0
15,0,1,2,0.0010001659393310547,0.08683418246402026,Not accessible,18,0,0.0023295000009966316,0.0
16,0,1,2,0.0,0.04112108693104403,Not accessible,18,0,0.0023842999999033054,0.0
17,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.002330900000742986,0.0
18,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.0023784999993949896,0.0
19,0,1,2,0.002000093460083008,0.08683418246402026,Not accessible,18,0,0.00235170000087237,0.0
20,1,0,2,0.0,0.0,Not accessible,18,0,0.0023289000000659144,0.0
21,1,0,2,0.0,0.0962057048249661,Not accessible,18,0,0.002313299999514129,0.0
22,0,1,2,0.0,0.0,Not accessible,18,0,0.00233479999951669,0.0
23,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.0023932000003696885,0.0
24,0,1,2,0.0,0.0,Not accessible,18,0,0.0023864000013418263,0.0
25,0,1,2,0.0,0.0,Not accessible,18,0,0.002321099998880527,0.0
26,0,1,2,0.0,0.04112108693104403,Not accessible,18,0,0.002364300000408548,0.0
27,0,1,2,0.0,0.0,Not accessible,18,0,0.002419200000076671,0.0
28,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.0024198999999498483,0.0
29,0,1,2,0.0009999275207519531,0.18663717541645838,Not accessible,18,0,0.00244129999919096,0.0
30,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002780299999358249,0.0
31,1,0,2,0.0,0.0,Not accessible,18,0,0.0023252999999385793,0.0
32,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023295000009966316,0.0
33,1,0,2,0.0,0.0962057048249661,Not accessible,18,0,0.0022951999999349937,0.0
34,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.002313299999514129,0.0
35,0,1,2,0.0,0.04112108693104403,Not accessible,18,0,0.002313999999387306,0.0
36,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0025064000001293607,0.0
37,0,1,2,0.0,0.0,Not accessible,18,0,0.0023448000010830583,0.0
38,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.002345999999306514,0.0
39,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.0023165999991761055,0.0
40,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.002301200000147219,0.0
41,1,0,2,0.0,0.0,Not accessible,18,0,0.002235200001450721,0.0
42,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002312099999471684,0.0
43,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002335000001039589,0.0
44,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023165000002336456,0.0
45,0,1,2,0.0010001659393310547,0.25330384556006263,Not accessible,18,0,0.00236620000032417,0.0
46,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023320000000239816,0.0
47,0,1,2,0.0,0.04112108693104403,Not accessible,18,0,0.002307999999175081,0.0
48,1,0,2,0.0,0.0,Not accessible,18,0,0.002279399999679299,0.0
49,0,1,2,0.0,0.0,Not accessible,18,0,0.0022920999999769265,0.0
50,0,1,2,0.0,0.0,Not accessible,18,0,0.002321099998880527,0.0
51,1,0,2,0.0,0.0962057048249661,Not accessible,18,0,0.002323900000192225,0.0
52,0,1,2,0.0010001659393310547,0.04112108693104403,Not accessible,18,0,0.0023264000010385644,0.0
53,1,0,2,0.0,0.0,Not accessible,18,0,0.0022903999997652136,0.0
54,1,0,2,0.0,0.0,Not accessible,18,0,0.0022976999989623437,0.0
55,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.0023070999995979946,0.0
56,0,1,2,0.002000093460083008,0.08683418246402026,Not accessible,18,0,0.0023266999996849336,0.0
57,0,1,2,0.0,0.0,Not accessible,18,0,0.002343000000109896,0.0
58,0,1,2,0.0,0.0,Not accessible,18,0,0.0023056999998516403,0.0
59,1,0,2,0.0010001659393310547,0.0,Not accessible,18,0,0.002286900000399328,0.0
60,1,0,2,0.0,0.0,Not accessible,18,0,0.0022388000015780563,0.0
61,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.0023034000005281996,0.0
62,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023058999995555496,0.0
63,0,1,2,0.0,0.0,Not accessible,18,0,0.002344700000321609,0.0
64,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023301000001083594,0.0
65,1,0,2,0.0,0.0,Not accessible,18,0,0.0022988999990047887,0.0
66,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.002318599999853177,0.0
67,1,0,2,0.0,0.0,Not accessible,18,0,0.0022802999992563855,0.0
68,1,0,2,0.0,0.18763189589091858,Not accessible,18,0,0.002301999998962856,0.0
69,1,0,2,0.0,0.0,Not accessible,18,0,0.0022556000003532972,0.0
70,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.0023535000000265427,0.0
71,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.0022998999993433245,0.0
72,1,0,2,0.0,0.0,Not accessible,18,0,0.00224770000022545,0.0
73,1,0,2,0.0,0.05049258885664249,Not accessible,18,0,0.002289200001541758,0.0
74,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0023063999997248175,0.0
75,1,0,2,0.0,0.6271320370858473,Not accessible,18,0,0.002299599998877966,0.0
76,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.00247990000025311,0.0
77,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0023326999998971587,0.0
78,0,1,2,0.0,0.0,Not accessible,18,0,0.0023153000001912005,0.0
79,1,0,2,0.0,0.05049258885664249,Not accessible,18,0,0.0023095999986253446,0.0
80,1,0,2,0.0,0.05049258885664249,Not accessible,18,0,0.002320499999768799,0.0
81,1,0,2,0.0,0.05049258885664249,Not accessible,18,0,0.0023147000010794727,0.0
82,1,0,2,0.0,0.0,Not accessible,18,0,0.0023022000004857546,0.0
83,1,0,2,0.0,0.0,Not accessible,18,0,0.002345900000364054,0.0
84,1,0,2,0.0,0.3604653863137526,Not accessible,18,0,0.0023129000001063105,0.0
85,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0023307000010390766,0.0
86,0,1,2,0.0009999275207519531,0.3199705157036669,Not accessible,18,0,0.0023414999996020924,0.0
87,1,0,2,0.0,0.0,Not accessible,18,0,0.0022930000013730023,0.0
88,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002319899998838082,0.0
89,1,0,2,0.0,0.0,Not accessible,18,0,0.0023752000015520025,0.0
90,1,0,2,0.0019998550415039062,0.0,Not accessible,18,0,0.0023583999991387827,0.0
91,1,0,2,0.0,0.0,Not accessible,18,0,0.0022906000012881123,0.0
92,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023898999988887226,0.0
93,1,0,2,0.0,0.14191880035794233,Not accessible,18,0,0.0023320000000239816,0.0
94,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.0023579000007885043,0.0
95,0,1,2,0.0,0.04112108693104403,Not accessible,18,0,0.0023660999995627208,0.0
96,1,0,2,0.002000093460083008,0.0,Not accessible,18,0,0.0024134000013873447,0.0
97,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.0023622999997314764,0.0
98,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023978999997780193,0.0
99,0,1,2,0.0,0.0,Not accessible,18,0,0.0023330000003625173,0.0
100,0,1,2,0.0,0.08683418246402026,Not accessible,18,0,0.0023467999999411404,0.0
101,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.0023564000002807006,0.0
102,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0024128999993990874,0.0
103,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.002346499999475782,0.0
104,1,0,2,0.0,0.0962057048249661,Not accessible,18,0,0.0023705000003246823,0.0
105,0,1,2,0.0009999275207519531,0.18663717541645838,Not accessible,18,0,0.0023889000003691763,0.0
106,0,1,2,0.0019998550415039062,0.25330384556006263,Not accessible,18,0,0.0024198999999498483,0.0
107,1,0,2,0.0,0.05049258885664249,Not accessible,18,0,0.002379899999141344,0.0
108,0,1,2,0.0,0.3199705157036669,Not accessible,18,0,0.0023866999999881955,0.0
109,0,1,2,0.0,0.0,Not accessible,18,0,0.0023794999997335253,0.0
110,1,0,2,0.0,0.0,Not accessible,18,0,0.002338600001166924,0.0
111,0,1,2,0.0,0.0,Not accessible,18,0,0.0023105000000214204,0.0
112,0,1,2,0.0,0.25330384556006263,Not accessible,18,0,0.0023443999998562504,0.0
113,0,1,2,0.0,0.13254728821467018,Not accessible,18,0,0.002375100000790553,0.0
114,0,1,2,0.0,0.18663717541645838,Not accessible,18,0,0.00242919999982405,0.0
-,-,-,-,-,-,-,-,-,complete: 0.3438685000000987,complete: 0.0
