iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.0,0.037565554986779104,Not accessible,24,0,0.0029708000001846813,0.0
1,0,1,2,0.0,0.019010044840362502,Not accessible,24,0,0.0024967999997898005,0.0
2,0,1,2,0.0,0.02828780130758473,Not accessible,24,0,0.002426299999569892,0.0
3,0,1,2,0.0,0.012824874791556954,Not accessible,24,0,0.002393099999608239,0.0
4,0,1,2,0.0,0.015917461209973643,Not accessible,24,0,0.002393500000835047,0.0
5,0,1,2,0.0,0.04220443182637632,Not accessible,24,0,0.0023987999993551057,0.0
6,0,1,2,0.0,0.02364892167995968,Not accessible,24,0,0.002440000000206055,0.0
7,0,1,2,0.0010001659393310547,0.020556338049570834,Not accessible,24,0,0.0023593999994773185,0.0
8,0,1,2,0.0010001659393310547,0.07313027928237621,Not accessible,24,0,0.0024496999994880753,0.0
9,1,0,2,0.0,0.0,Not accessible,24,0,0.002391199999692617,0.0
10,1,0,2,0.0,0.0,Not accessible,24,0,0.0023479999999835854,0.0
11,0,1,2,0.0,0.017463751631154146,Not accessible,24,0,0.002382299999226234,0.0
12,0,1,2,0.0,0.036019264565598605,Not accessible,24,0,0.002476899999237503,0.0
13,0,1,2,0.0,0.051482185505570696,Not accessible,24,0,0.002383499999268679,0.0
14,1,0,2,0.002000093460083008,0.0,Not accessible,24,0,0.0023600000004080357,0.0
15,1,0,2,0.0010001659393310547,0.0,Not accessible,24,0,0.0023605999995197635,0.0
16,1,0,2,0.0,0.0,Not accessible,24,0,0.002321099998880527,0.0
17,0,1,2,0.0,0.026741505310348534,Not accessible,24,0,0.002349500000491389,0.0
18,0,1,2,0.0009999275207519531,0.020556338049570834,Not accessible,24,0,0.0023832999995647697,0.0
19,0,1,2,0.0,0.008185997951959753,Not accessible,24,0,0.0023913999993965263,0.0
20,0,1,2,0.0,0.026741505310348534,Not accessible,24,0,0.00239779999901657,0.0
21,0,1,2,0.0019998550415039062,0.09323208263800113,Not accessible,24,0,0.002423300000373274,0.0
22,0,1,2,0.0,0.006639707530779244,Not accessible,24,0,0.002399699998932192,0.0
23,0,1,2,0.0,0.02828780130758473,Not accessible,24,0,0.002400100000159,0.0
24,0,1,2,0.0,0.012824874791556954,Not accessible,24,0,0.0023854999999457505,0.0
25,1,0,2,0.0,0.0,Not accessible,24,0,0.002379999999902793,0.0
26,1,0,2,0.0,0.0,Not accessible,24,0,0.002330900000742986,0.0
27,0,1,2,0.0,0.04065814140519578,Not accessible,24,0,0.0023540000001958106,0.0
28,1,0,2,0.0,0.0,Not accessible,24,0,0.002412900001218077,0.0
29,0,1,2,0.0,0.003547121112362559,Not accessible,24,0,0.002394399998593144,0.0
30,1,0,2,0.0,0.0,Not accessible,24,0,0.0023301000001083594,0.0
31,0,1,2,0.0,0.017463751631154146,Not accessible,24,0,0.002433099998597754,0.0
32,0,1,2,0.0009999275207519531,0.017463751631154146,Not accessible,24,0,0.002452900000207592,0.0
33,0,1,2,0.0,0.0,Not accessible,24,0,0.0023644000011699973,0.0
34,1,0,2,0.0,0.0,Not accessible,24,0,0.0023440999993908918,0.0
35,0,1,2,0.0,0.02828780130758473,Not accessible,24,0,0.0023658000009163516,0.0
36,1,0,2,0.0,0.0,Not accessible,24,0,0.002319399998668814,0.0
37,1,0,2,0.0,0.0,Not accessible,24,0,0.0023482999986299546,0.0
38,0,1,2,0.0010001659393310547,0.02828780130758473,Not accessible,24,0,0.002471200001309626,0.0
39,1,0,2,0.0,0.0,Not accessible,24,0,0.0023160000000643777,0.0
40,0,1,2,0.0,0.02828780130758473,Not accessible,24,0,0.00235659999998461,0.0
41,0,1,2,0.0,0.036019264565598605,Not accessible,24,0,0.002367999999478343,0.0
42,1,0,2,0.002000093460083008,0.0,Not accessible,24,0,0.0023313999990932643,0.0
43,1,0,2,0.0009999275207519531,0.0,Not accessible,24,0,0.002353699999730452,0.0
44,1,0,2,0.0,0.0,Not accessible,24,0,0.0023726999988866737,0.0
45,0,1,2,0.0,0.012824874791556954,Not accessible,24,0,0.002357299999857787,0.0
46,0,1,2,0.0,0.008185997951959753,Not accessible,24,0,0.0023736000002827495,0.0
47,1,0,2,0.0,0.0,Not accessible,24,0,0.0023200000014185207,0.0
48,0,1,2,0.0,0.0,Not accessible,24,0,0.0023330999993049772,0.0
49,0,1,2,0.0,0.020556338049570834,Not accessible,24,0,0.0023632000011275522,0.0
50,1,0,2,0.0,0.0,Not accessible,24,0,0.0023315999987971736,0.0
51,0,1,2,0.0,0.011278584370376444,Not accessible,24,0,0.0023909999999887077,0.0
52,1,0,2,0.0,0.0,Not accessible,24,0,0.002340699998967466,0.0
53,1,0,2,0.0,0.0,Not accessible,24,0,0.0023218999995151535,0.0
54,0,1,2,0.0,0.008185997951959753,Not accessible,24,0,0.0023535999989690026,0.0
55,0,1,2,0.0,0.015917461209973643,Not accessible,24,0,0.0023557000004075235,0.0
56,0,1,2,0.0,0.026741505310348534,Not accessible,24,0,0.0023734999995213,0.0
57,1,0,2,0.0,0.0,Not accessible,24,0,0.0023444000016752398,0.0
58,0,1,2,0.0,0.017463751631154146,Not accessible,24,0,0.002341500001421082,0.0
59,1,0,2,0.0,0.0,Not accessible,24,0,0.002319100000022445,0.0
60,0,1,2,0.0,0.04220443182637632,Not accessible,24,0,0.002353299998503644,0.0
61,0,1,2,0.002000093460083008,0.056121062345167894,Not accessible,24,0,0.0023753999994369224,0.0
62,1,0,2,0.0,0.0,Not accessible,24,0,0.0023187000006146263,0.0
63,0,1,2,0.0,0.019010044840362502,Not accessible,24,0,0.002345400000194786,0.0
64,1,0,2,0.0,0.0,Not accessible,24,0,0.0024169000007532304,0.0
65,0,1,2,0.0,0.017463751631154146,Not accessible,24,0,0.0023705999992671423,0.0
66,0,1,2,0.0009999275207519531,0.056121062345167894,Not accessible,24,0,0.0023754000012559118,0.0
67,1,0,2,0.0,0.0,Not accessible,24,0,0.002342200001294259,0.0
68,0,1,2,0.0,0.012824874791556954,Not accessible,24,0,0.002394799999819952,0.0
69,0,1,2,0.0,0.031380382149945735,Not accessible,24,0,0.002357399998800247,0.0
70,1,0,2,0.0,0.0,Not accessible,24,0,0.0031367999999929452,0.0
71,0,1,2,0.0,0.02364892167995968,Not accessible,24,0,0.003880300000673742,0.0
72,0,1,2,0.0,0.009732291161168095,Not accessible,24,0,0.003910800000085146,0.0
73,0,1,2,0.0,0.02519521488916803,Not accessible,24,0,0.0024484000005031703,0.0
74,0,1,2,0.0,0.008185997951959753,Not accessible,24,0,0.0024060999985522358,0.0
75,0,1,2,0.0,0.031380382149945735,Not accessible,24,0,0.0024498999991919845,0.0
76,0,1,2,0.0,0.032926678147181906,Not accessible,24,0,0.0023784000004525296,0.0
77,1,0,2,0.0010001659393310547,0.0,Not accessible,24,0,0.002329200000531273,0.0
78,0,1,2,0.0,0.015917461209973643,Not accessible,24,0,0.002351499999349471,0.0
79,0,1,2,0.0,0.006639707530779244,Not accessible,24,0,0.002365000000281725,0.0
80,1,0,2,0.0,0.0,Not accessible,24,0,0.002342200001294259,0.0
81,0,1,2,0.0,0.031380382149945735,Not accessible,24,0,0.0023705000003246823,0.0
82,1,0,2,0.0,0.0,Not accessible,24,0,0.0024375999983021757,0.0
83,0,1,2,0.0,0.020556338049570834,Not accessible,24,0,0.0024133999995683553,0.0
84,0,1,2,0.0,0.026741505310348534,Not accessible,24,0,0.0023883000012574485,0.0
85,0,1,2,0.0,0.07931545211920955,Not accessible,24,0,0.00240250000024389,0.0
86,0,1,2,0.0,0.014371168000765303,Not accessible,24,0,0.002427499999612337,0.0
