iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.0,0.770716026438615,Not accessible,40,0,0.006133799999588518,0.0
1,0,1,2,0.0,0.30854278283944814,Not accessible,40,0,0.0060350000003381865,0.0
2,1,0,2,0.0,0.4593156694004774,Not accessible,40,0,0.006272200000239536,0.0
3,1,0,2,0.0,0.0,Not accessible,40,0,0.0062474000005749986,0.0
4,1,0,2,0.0,0.0,Not accessible,40,0,0.006423400000130641,0.0
5,1,0,2,0.0,0.24482726573964186,Not accessible,40,0,0.006411899999875459,0.0
6,0,1,2,0.0,0.8092631904253447,Not accessible,40,0,0.006328399998892564,0.0
7,0,1,2,0.0,0.0,Not accessible,40,0,0.006383899999491405,0.0
8,0,1,2,0.0,0.7238728271229187,Not accessible,40,0,0.006399099998816382,0.0
9,0,1,2,0.0,0.7163895628376477,Not accessible,40,0,0.00680850000026112,0.0
10,0,1,2,0.0,0.6793975754735845,Not accessible,40,0,0.006549200001245481,0.0
11,0,1,2,0.0,0.06056923871825837,Not accessible,40,0,0.006344600000375067,0.0
12,1,0,2,0.0,0.3596615854360664,Not accessible,40,0,0.00652789999912784,0.0
13,0,1,2,0.0,0.8793145653426717,Not accessible,40,0,0.006243599998924765,0.0
14,0,1,2,0.0,0.9140705815714428,Not accessible,40,0,0.00637540000025183,0.0
15,0,1,2,0.0,0.11073674486348162,Not accessible,40,0,0.006284199998844997,0.0
16,0,1,2,0.0,0.549560858237361,Not accessible,40,0,0.006386000000929926,0.0
17,0,1,2,0.0,0.19070412652937452,Not accessible,40,0,0.006578000000445172,0.0
18,0,1,2,0.0,0.8478605694742645,Not accessible,40,0,0.006354099999953178,0.0
19,0,1,2,0.0,0.09411764144897461,Not accessible,40,0,0.008539399999790476,0.0
20,1,0,2,0.0,0.04133814128399915,Not accessible,40,0,0.0075343000007706,0.0
21,1,0,2,0.0,0.3383526345048773,Not accessible,40,0,0.008020999999644118,0.0
22,0,1,2,0.0,0.17614374572080582,Not accessible,40,0,0.006135900001027039,0.0
23,0,1,2,0.0,0.4737810109758578,Not accessible,40,0,0.006152100000690552,0.0
24,0,1,2,0.0009999275207519531,0.5237210039725794,Not accessible,40,0,0.0060451999997894745,0.0
