iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,1,tensor(0),2,0.0009999275207519531,0.0,Not accessible,26,0,0.015963000000738248,0.011641
1,0,tensor(1),2,0.0009999275207519531,0.19805655536395256,Not accessible,26,0,0.011986499999693478,0.008328
2,1,tensor(0),2,0.0,0.4659718224004233,Not accessible,26,0,0.011932500000511936,0.00832
3,1,tensor(0),2,0.0,0.41753952326631405,Not accessible,26,0,0.012101299999812909,0.00832
4,1,tensor(0),2,0.0009999275207519531,0.0549607749065683,Not accessible,26,0,0.012085100000149396,0.00832
5,1,tensor(0),2,0.0,0.46223725156615164,Not accessible,26,0,0.012074000000211527,0.00832
6,0,tensor(1),2,0.0,0.09506808851042114,Not accessible,26,0,0.012027699999634933,0.00832
7,1,tensor(0),2,0.0,0.0,Not accessible,26,0,0.011903499999789346,0.00832
8,1,tensor(0),2,0.0,0.09440818423197316,Not accessible,26,0,0.011934199999814155,0.00832
9,0,tensor(1),2,0.0,0.23212340617796545,Not accessible,26,0,0.011944700000640296,0.00832
10,0,tensor(1),2,0.0,0.04681119268748865,Not accessible,26,0,0.011960800000451854,0.00832
11,1,tensor(0),2,0.0009999275207519531,0.28646891465962393,Not accessible,26,0,0.011991399999715213,0.00832
12,0,tensor(1),2,0.0,0.2561675174637026,Not accessible,26,0,0.011996400000498397,0.00832
13,0,tensor(1),2,0.0,0.0,Not accessible,26,0,0.0119896999995035,0.00832
14,0,tensor(1),2,0.0,0.24769587170956764,Not accessible,26,0,0.012038799999572802,0.00832
15,0,tensor(1),2,0.0009999275207519531,0.24380348361320375,Not accessible,26,0,0.011982699999862234,0.00832
16,1,tensor(0),2,0.0009999275207519531,0.8831645725502065,Not accessible,26,0,0.01192440000068018,0.00832
17,1,tensor(0),2,0.0,0.3412706156650816,Not accessible,26,0,0.012812699999813049,0.00832
18,0,tensor(1),2,0.0,0.0,Not accessible,26,0,0.011971099999755097,0.00832
19,1,tensor(0),2,0.0,0.16477278050011912,Not accessible,26,0,0.012154699999882723,0.00832
-,-,-,-,-,-,-,-,-,complete: 0.24477520000073127,complete: 0.16972899999999994
