iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,tensor(1),2,0.0,0.7707160264386149,Not accessible,26,0,0.013873099999727856,0.011641
1,0,tensor(1),2,0.0,0.30854278283944814,Not accessible,26,0,0.012462400000003981,0.008328
2,1,tensor(0),2,0.0010001659393310547,0.4593156694004773,Not accessible,26,0,0.012239200000294659,0.00832
3,1,tensor(0),2,0.0009999275207519531,0.0,Not accessible,26,0,0.011850800000502204,0.00832
4,1,tensor(0),2,0.0,0.0,Not accessible,26,0,0.011948800000027404,0.00832
5,1,tensor(0),2,0.0,0.24482726573964186,Not accessible,26,0,0.012176299999737239,0.00832
6,0,tensor(1),2,0.0,0.8092631904253447,Not accessible,26,0,0.015619900000274356,0.00832
7,0,tensor(1),2,0.0,0.0,Not accessible,26,0,0.012019000000691449,0.00832
8,0,tensor(1),2,0.0,0.7238728271229187,Not accessible,26,0,0.012052500000208966,0.00832
9,0,tensor(1),2,0.0,0.7163895628376477,Not accessible,26,0,0.012029200000142737,0.00832
10,0,tensor(1),2,0.0,0.6793975754735844,Not accessible,26,0,0.01185669999995298,0.00832
11,0,tensor(1),2,0.0,0.06056923871825837,Not accessible,26,0,0.012063199999829521,0.00832
12,1,tensor(0),2,0.0,0.3596615854360664,Not accessible,26,0,0.012009000000034575,0.00832
13,0,tensor(1),2,0.0,0.8793145653426718,Not accessible,26,0,0.011933100000533159,0.00832
14,0,tensor(1),2,0.0,0.9140705815714428,Not accessible,26,0,0.012007299999822862,0.00832
15,0,tensor(1),2,0.0,0.1107367448634814,Not accessible,26,0,0.011953600000197184,0.00832
16,0,tensor(1),2,0.0009999275207519531,0.549560858237361,Not accessible,26,0,0.01225220000014815,0.00832
17,0,tensor(1),2,0.0,0.19070412652937452,Not accessible,26,0,0.012029399999846646,0.00832
18,0,tensor(1),2,0.0,0.8478605694742645,Not accessible,26,0,0.011958600000070874,0.00832
19,0,tensor(1),2,0.0,0.09411764144897461,Not accessible,26,0,0.011930700000448269,0.00832
-,-,-,-,-,-,-,-,-,complete: 0.24626500000249507,complete: 0.16972899999999994
