iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,1,tensor(0),2,0.0,0.5376047144657596,Not accessible,18,0,0.007842099999834318,0.008825
1,0,tensor(1),2,0.0009999275207519531,0.4926254691912817,Not accessible,18,0,0.006739099999322207,0.006696
2,1,tensor(0),2,0.0,0.5737964572283878,Not accessible,18,0,0.006685499999548483,0.006136
3,0,tensor(1),2,0.0,0.15884414109985,Not accessible,18,0,0.006738400000358524,0.006048
4,0,tensor(1),2,0.0,0.43158679731730654,Not accessible,18,0,0.0069254000000000815,0.006048
5,0,tensor(1),2,0.0,0.407304642409988,Not accessible,18,0,0.006703699999889068,0.006048
6,1,tensor(0),2,0.0,0.4354201350318101,Not accessible,18,0,0.006745899999259564,0.006048
7,1,tensor(0),2,0.0009999275207519531,0.32567823812714036,Not accessible,18,0,0.006858799999463372,0.006048
8,1,tensor(0),2,0.0,0.0,Not accessible,18,0,0.006797200000619341,0.006048
9,0,tensor(1),2,0.0009999275207519531,0.6216873138283149,Not accessible,18,0,0.006771700000172132,0.006048
10,0,tensor(1),2,0.0,0.4231527756801622,Not accessible,18,0,0.006882900000164227,0.006048
11,0,tensor(1),2,0.0,0.4842232498664732,Not accessible,18,0,0.006643400000029942,0.006048
12,0,tensor(1),2,0.0,0.5587069052808553,Not accessible,18,0,0.0067088999994666665,0.006048
13,0,tensor(1),2,0.0,0.41599565486581147,Not accessible,18,0,0.006746900000507594,0.006048
14,0,tensor(1),2,0.0,0.3033916239202954,Not accessible,18,0,0.006795799999963492,0.006048
15,1,tensor(0),2,0.0,0.08485270611860973,Not accessible,18,0,0.006825899999967078,0.006048
16,0,tensor(1),2,0.0009999275207519531,0.6820245673581972,Not accessible,18,0,0.006888800000524498,0.006048
17,1,tensor(0),2,0.0,0.3616616483026942,Not accessible,18,0,0.006725999999616761,0.006048
18,1,tensor(0),2,0.0,0.04846785773853424,Not accessible,18,0,0.006698299999698065,0.006048
19,1,tensor(0),2,0.0,0.4402261038147497,Not accessible,18,0,0.006714799999826937,0.006048
-,-,-,-,-,-,-,-,-,complete: 0.13643949999823235,complete: 0.12447299999999997
