iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,tensor(1),2,0.0,0.37757389500158667,Not accessible,32,0,0.016951600000538747,0.013449
1,0,tensor(1),2,0.0,0.1737936725674583,Not accessible,32,0,0.01584519999960321,0.010312
2,0,tensor(1),2,0.0,0.0,Not accessible,32,0,0.016160000000127184,0.010312
3,0,tensor(1),2,0.0009999275207519531,0.4542054410575934,Not accessible,32,0,0.015874199999416305,0.010312
4,0,tensor(1),2,0.0,0.5665521169178486,Not accessible,32,0,0.01638020000063989,0.010312
5,0,tensor(1),2,0.0,0.317461266216466,Not accessible,32,0,0.01581400000031863,0.010312
6,0,tensor(1),2,0.0,0.1422698480089811,Not accessible,32,0,0.015851799999836658,0.010312
7,0,tensor(1),2,0.0,0.0,Not accessible,32,0,0.015831599999728496,0.010312
8,0,tensor(1),2,0.0,0.3367066791269021,Not accessible,32,0,0.016073100000539853,0.010312
9,1,tensor(0),2,0.0,0.060330957087881346,Not accessible,32,0,0.015809300000000803,0.010312
10,1,tensor(0),2,0.0,0.023759714655934905,Not accessible,32,0,0.016408199999204953,0.010312
11,0,tensor(1),2,0.0,0.05952938196041603,Not accessible,32,0,0.015894199999820557,0.010312
12,0,tensor(1),2,0.0,0.0967804904157942,Not accessible,32,0,0.016175400000065565,0.010312
13,0,tensor(1),2,0.0,0.23203340915613274,Not accessible,32,0,0.015891799999735667,0.010312
14,1,tensor(0),2,0.0,0.0,Not accessible,32,0,0.01619259999915812,0.010312
15,1,tensor(0),2,0.0010001659393310547,0.020261851262652383,Not accessible,32,0,0.01585640000030253,0.010312
16,1,tensor(0),2,0.0009999275207519531,0.18370988734617744,Not accessible,32,0,0.01590299999952549,0.010312
17,0,tensor(1),2,0.0009999275207519531,0.0,Not accessible,32,0,0.015862700000070618,0.010312
18,0,tensor(1),2,0.0009999275207519531,0.0,Not accessible,32,0,0.015941100000418373,0.010312
19,0,tensor(1),2,0.0,0.5419088923870081,Not accessible,32,0,0.01581239999995887,0.010312
-,-,-,-,-,-,-,-,-,complete: 0.3205287999990105,complete: 0.2093769999999999
