iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.005000114440917969,0.045433788782422144,4.131756443975816e-08,36,0,0.023879799999122042,0.055345
1,0,1,2,0.003999948501586914,0.020488942655551786,0.0,36,0,0.0247174999985873,0.057837
2,0,1,2,0.004000186920166016,0.0329613675930105,4.128307422365106e-08,36,0,0.023879799999122042,0.057105
3,0,1,2,0.003999948501586914,0.012173993946595005,4.1068540838306894e-08,36,0,0.024266300000817864,0.056694
4,0,1,2,0.003000020980834961,0.016331470175096924,0.0,36,0,0.02435429999968619,0.056349
5,0,1,2,0.003999948501586914,0.05166999937712797,0.0,36,0,0.02448289999847475,0.056055
6,0,1,2,0.003000020980834961,0.026725153250257615,0.0,36,0,0.024539899999581394,0.055938
7,0,1,2,0.003000020980834961,0.022567680769802746,0.0,36,0,0.024106899998514564,0.05584
8,0,1,2,0.003000020980834961,0.09324473917386485,0.0,36,0,0.025155799999993178,0.056084
9,1,0,2,0.002000093460083008,0.0,0.0,36,0,0.02210639999975683,0.055639
10,1,0,2,0.002000093460083008,0.0,0.0,36,0,0.022994199998720433,0.055919
11,0,1,2,0.0029997825622558594,0.018410204541300827,4.1183770402457864e-08,36,0,0.02613030000065919,0.055443
12,0,1,2,0.003000020980834961,0.04335505441621824,0.0,36,0,0.024252199998954893,0.055345
13,0,1,2,0.003000020980834961,0.06414242056653961,0.0,36,0,0.024511100000381703,0.055813
14,1,0,2,0.0019998550415039062,0.0,0.0,36,0,0.022979299999860814,0.055391
15,1,0,2,0.0019998550415039062,0.0,0.0,36,0,0.023746400000163703,0.0555
16,1,0,2,0.003000020980834961,0.0,0.0,36,0,0.022748999999748776,0.055633
17,0,1,2,0.003000020980834961,0.03088262573071247,0.0,36,0,0.02408079999986512,0.055916
18,0,1,2,0.003000020980834961,0.022567680769802746,0.0,36,0,0.024085099999865633,0.055196
19,0,1,2,0.003000020980834961,0.005937783351889178,0.0,36,0,0.024084399999992456,0.055116
-,-,-,-,-,-,-,-,-,complete: 0.8497881999919628,complete: 7.147495000000001
