iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,tensor(1),0,2,1.8249998092651367,0.0,0.0,3378,74,6.772522600000229,21.240522
1,tensor(2),0,2,2.4839999675750732,0.0,0.0,3378,74,7.218392300000232,21.827727
2,tensor(8),0,2,1.8310000896453857,0.0,0.0,3378,74,6.683842899999945,21.860325
3,tensor(5),0,2,1.6820001602172852,0.0,0.0,3378,74,6.591185700000096,21.801918
4,tensor(2),0,2,7.336999893188477,0.0,0.0,3378,74,12.06898510000019,21.82927
5,tensor(6),0,2,4.635999917984009,0.0,0.0,3378,74,9.464435299999877,21.794312
6,tensor(9),0,2,2.421999931335449,0.0,0.0,3378,74,7.321306299999833,21.800856
7,tensor(9),0,2,3.8470001220703125,0.0,0.0,3378,74,8.75561319999997,21.791647
8,tensor(9),0,2,2.305000066757202,0.0,0.0,3378,74,7.212272100000064,21.784173
9,tensor(4),0,2,4.420000076293945,0.0,0.0,3378,74,9.452980099999877,21.765164
10,tensor(0),0,2,0.3269999027252197,0.0,0.0,3378,74,5.144465600000331,21.816422
11,tensor(3),0,2,3.73799991607666,0.0,0.0,3378,74,8.663907999999992,21.823897
12,tensor(9),0,2,2.5900001525878906,0.0,0.0,3378,74,7.376784700000371,21.78062
13,tensor(9),0,2,6.621999979019165,0.0,0.0,3378,74,11.527368399999887,21.765498
14,tensor(5),0,2,1.690999984741211,0.0,0.0,3378,74,6.464079200000015,21.799845
15,tensor(6),0,2,3.2309999465942383,0.0,0.0,3378,74,8.03845790000014,21.78379
16,tensor(7),0,2,3.922999858856201,0.0,0.0,3378,74,8.806082999999944,21.769473
17,tensor(8),0,2,3.4030001163482666,0.0,0.0,3378,74,8.390082299999904,21.791941
18,tensor(8),0,2,1.7899999618530273,0.0,0.0,3378,74,6.561152199999924,21.807867
19,tensor(9),0,2,3.6460001468658447,0.0,0.0,3378,74,8.616646899999978,21.768923
-,-,-,-,-,-,-,-,-,complete: 161.1305638000008,complete: 435.40418999999997
