iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.003999948501586914,0.37010715543065953,0.0,70,6,0.10696199999983946,1.479431
1,0,1,2,0.003999948501586914,0.15250129673094515,0.0,70,6,0.045482600000468665,0.292758
2,0,1,2,0.0019998550415039062,0.0,0.0,70,6,0.04345850000026985,0.287889
3,0,1,2,0.003000020980834961,0.42832635220331705,0.0,70,6,0.04380399999899964,0.28731
4,0,1,2,0.003000020980834961,0.537439846293989,0.0,70,6,0.043580900000961265,0.286757
5,0,1,2,0.003000020980834961,0.31411800951575375,0.0,70,6,0.04449250000106986,0.286055
6,0,1,2,0.003999948501586914,0.14150859944190922,0.0,70,6,0.04600100000061502,0.285882
7,0,1,2,0.002000093460083008,0.0,0.0,70,6,0.0436308000007557,0.285377
8,0,1,2,0.003000020980834961,0.3395610308289011,0.0,70,6,0.04463149999901361,0.285216
9,1,0,2,0.003000020980834961,0.05009594575830707,0.0,70,6,0.04417689999900176,0.284558
10,1,0,2,0.003000020980834961,0.005109969955697569,0.0,70,6,0.044367499998770654,0.284727
11,0,1,2,0.004000186920166016,0.05289567021736172,0.0,70,6,0.04450120000001334,0.284401
12,0,1,2,0.003000020980834961,0.09314384847053236,0.0,70,6,0.0446708999988914,0.284588
13,0,1,2,0.003000020980834961,0.20704963712363578,0.0,70,6,0.04409540000051493,0.283924
14,1,0,2,0.0019998550415039062,0.0,0.0,70,6,0.04312500000014552,0.284547
15,1,0,2,0.003000020980834961,0.0071341664486742895,0.0,70,6,0.04501170000003185,0.284036
16,1,0,2,0.003000020980834961,0.15871795456795307,0.0,70,6,0.04415599999992992,0.283806
17,0,1,2,0.002000093460083008,0.0,0.0,70,6,0.04286309999952209,0.283475
18,0,1,2,0.003000020980834961,0.0012945864331315587,0.0,70,6,0.044812300000558025,0.283799
19,0,1,2,0.0029997825622558594,0.522441901611671,0.0,70,6,0.044553499999892665,0.283309
-,-,-,-,-,-,-,-,-,complete: 0.9483772999992652,complete: 6.901845000000002
